Evaluation : N=100, type=int
ZERO	5.9894	0.2315	0.232	0.2298	0.2278	0.2254	0.2297	0.2264	0.2278	0.2266	0.2316	0.2278	0.2273	0.2274	0.229	0.2278

COPY_ij	9.1831	0.2247	0.2193	0.2163	0.2134	0.2165	0.2175	0.2167	0.2171	0.2137	0.2165	0.2171	0.2167	0.2162	0.2183	0.2159

COPY_ji	0.3446	0.3025	0.3083	0.3009	0.2974	0.3009	0.301	0.3005	0.3106	0.2996	0.2954	0.2974	0.3015	0.3018	0.2994	0.2952

ADD_ij	0.4217	0.4104	0.4115	0.4133	0.4098	0.4084	0.4114	0.4108	0.4076	0.4009	0.3979	0.4008	0.399	0.4004	0.3993	0.3979

ADD_ji	0.4225	0.4169	0.41	0.408	0.4104	0.4129	0.4086	0.4084	0.4097	0.4005	0.3969	0.3977	0.3987	0.3987	0.3999	0.3965

PS	3.4362	0.8826	0.8818	0.883	0.8804	0.8814	0.8818	0.8808	0.8797	0.8788	0.8781	0.8794	0.8804	0.8816	0.8818	0.881

MM_ijk	1.42594	1.34182	1.33352	1.37888	1.33375	1.33351	1.33346	1.33423	1.33348	1.71239	1.56584	1.41588	1.34725	1.37432	1.3882	1.45742

MM_ikj	0.84982	0.782289	0.78036	0.780455	0.780314	0.780333	0.782021	0.780563	0.780316	0.780337	0.780342	0.780325	0.807996	0.781123	0.780947	0.780958

MM_B_ijk	1.5573	1.55563	1.55516	1.57134	1.55488	1.55488	1.55473	1.55476	1.55483	1.6996	1.64863	1.55475	1.64208	1.56201	2.30715	1.79277

