Evaluation : N=100, type=char
ZERO	1.8006	0.0393	0.0351	0.0357	0.0355	0.0355	0.036	0.0355	0.0355	0.0353	0.0355	0.0359	0.0357	0.0355	0.0354	0.0359

COPY_ij	2.8422	0.0407	0.0364	0.0363	0.0367	0.0361	0.036	0.0363	0.0366	0.0366	0.0363	0.0361	0.0359	0.0365	0.0365	0.0363

COPY_ji	0.0868	0.0744	0.0741	0.0761	0.074	0.0738	0.074	0.0743	0.0739	0.0742	0.0742	0.0743	0.0743	0.0743	0.0744	0.0743

ADD_ij	0.0809	0.0752	0.0775	0.0775	0.0779	0.0752	0.0751	0.0753	0.0751	0.0752	0.0753	0.0749	0.0752	0.0749	0.0751	0.0752

ADD_ji	0.085	0.0778	0.0777	0.0756	0.0753	0.0755	0.0756	0.0751	0.0755	0.0755	0.0751	0.0757	0.0754	0.0753	0.0755	0.0754

PS	0.609	0.2773	0.2801	0.2801	0.2795	0.2775	0.2774	0.2772	0.277	0.2769	0.2771	0.2765	0.2765	0.2768	0.277	0.277

MM_ijk	0.937103	0.912792	0.9156	0.913272	0.919099	0.915643	0.889183	0.945235	0.969215	0.913105	0.898415	0.883886	0.893061	0.888945	0.913683	0.93797

MM_ikj	0.267122	0.266563	0.266456	0.299131	0.269152	0.266692	0.266584	0.266598	0.266598	0.266648	0.266587	0.266615	0.266657	0.26667	0.266559	0.266627

MM_B_ijk	2.11742	2.11477	2.12569	2.10784	2.10757	2.10699	2.12691	2.11485	2.1143	2.11362	2.19847	2.19078	2.10745	2.11084	2.13247	2.39312

